date,store_id,category,total_transactions,cash_transactions,card_transactions,amount_total,amount_cash,amount_card,units_sold,avg_ticket,has_promotion,replenishment_signal
2023-01-01,STR_001,Abarrotes,833,,326,244732.98,,101822.79,2299.0,,0,
2023-01-02,STR_001,Abarrotes,1298,750.0,548,373235.09,222834.25,150400.84,3011.0,287.55,0,
2023-01-03,STR_001,Abarrotes,1614,931.0,683,404249.92,239802.59,164447.33,3652.0,250.46,0,1546.0
2023-01-04,STR_001,Abarrotes,1726,972.0,754,423176.07,246810.92,176365.15,4165.0,245.18,0,1699.25
2023-01-05,STR_001,Abarrotes,2159,1028.0,675,458064.93,266559.26,191505.67,3553.0,268.98,1,1871.0
2023-01-06,STR_001,Abarrotes,2558,1390.0,845,493167.76,295142.34,198025.42,5654.0,220.66,1,1947.0
2023-01-07,STR_001,Abarrotes,2327,1301.0,1026,627344.87,336918.77,290426.1,3314.0,269.59,0,1964.29
2023-01-08,STR_001,Abarrotes,2068,900.0,932,528762.93,251075.19,277687.74,3032.0,288.63,1,1960.29
2023-01-09,STR_001,Abarrotes,1270,706.0,564,341418.14,196582.81,144835.33,2464.0,268.83,0,1948.0
2023-01-10,STR_001,Abarrotes,1528,950.0,578,400151.0,260201.23,139949.77,3791.0,261.88,0,1871.14
2023-01-11,STR_001,Abarrotes,1188,631.0,557,369387.82,197238.13,172149.69,3205.0,310.93,0,1796.43
2023-01-12,STR_001,Abarrotes,1636,830.0,806,422595.01,220331.05,202263.96,2482.0,258.31,0,1627.29
2023-01-13,STR_001,Abarrotes,1374,682.0,692,336401.34,161692.25,174709.09,3803.0,244.83,0,1589.71
2023-01-14,STR_001,Abarrotes,2064,1158.0,906,518278.16,295080.17,223197.99,4631.0,251.1,0,1899.14
2023-01-15,STR_001,Abarrotes,4234,2519.0,1715,1042718.82,632003.07,410715.75,9859.0,246.27,0,1895.43
2023-01-16,STR_001,Abarrotes,1244,738.0,506,336431.51,196924.86,139506.65,2566.0,270.44,0,1803.0
2023-01-17,STR_001,Abarrotes,881,552.0,329,224384.61,145747.47,78637.14,1218.0,254.69,0,1796.43
2023-01-18,STR_001,Abarrotes,1142,685.0,457,310230.35,181144.01,129086.34,2506.0,271.66,0,1743.71
2023-01-19,STR_001,Abarrotes,1267,635.0,632,347308.27,173252.08,174056.19,2806.0,274.12,0,1829.43
2023-01-20,STR_001,Abarrotes,1974,982.0,796,455548.98,239924.11,215624.87,4863.0,256.21,1,1971.29
2023-01-21,STR_001,Abarrotes,3057,1282.0,1413,615896.71,299177.65,316719.06,3882.0,228.53,1,1592.29
2023-01-22,STR_001,Abarrotes,1581,744.0,837,389526.53,187434.36,202092.17,3688.0,246.38,0,1569.57
2023-01-23,STR_001,Abarrotes,1085,578.0,507,299476.92,163138.87,136338.05,2286.0,276.02,0,1695.57
2023-01-24,STR_001,Abarrotes,1763,831.0,932,571833.12,266225.37,305607.75,4144.0,324.35,0,1675.43
2023-01-25,STR_001,Abarrotes,1001,510.0,491,257256.76,134540.65,122716.11,2605.0,257.0,0,1691.43
2023-01-26,STR_001,Abarrotes,1379,806.0,573,414623.72,251417.35,163206.37,2403.0,300.67,0,1555.14
2023-01-27,STR_001,Abarrotes,1020,469.0,392,239626.66,136019.22,103607.44,1503.0,278.31,1,1481.57
2023-01-28,STR_001,Abarrotes,2542,1503.0,1039,719753.62,426903.23,292850.39,5734.0,283.14,0,1579.29
2023-01-29,STR_001,Abarrotes,2265,1135.0,1130,642170.87,328274.88,313895.99,6171.0,283.52,0,1621.14
2023-01-30,STR_001,Abarrotes,1378,703.0,675,383206.57,193736.72,189469.85,2136.0,278.09,0,1700.43
